Id,Label
Q96MW1,Protein
P24394,Protein
P34932,Protein
Q75LS8,Protein
P08133,Protein
Q9H649,Protein
Q9Y6Y0,Protein
Q9P0U1,Protein
Q96EN8,Protein
Q8IY34,Protein
Q49MI3,Protein
Q9C035,Protein
Q6ULP2,Protein
Q9P1A6,Protein
Q9NX47,Protein
Q9H114,Protein
A6BM72,Protein
Q9UPN7,Protein
H0YM25,Protein
P53674,Protein
Q6ZQY3,Protein
P14921,Protein
A8MRT5,Protein
Q7Z5W3,Protein
Q9H2S9,Protein
A8MT69,Protein
P04264,Protein
Q9C0B7,Protein
Q9H0D2,Protein
P49336,Protein
Q9NQZ3,Protein
P35542,Protein
Q2M3M2,Protein
Q7Z745,Protein
Q99612,Protein
Q9BUD6,Protein
A6NKF1,Protein
Q13029,Protein
Q9NZQ0,Protein
Q9NP55,Protein
Q96FK6,Protein
Q9Y5G7,Protein
O75771,Protein
P32004,Protein
Q9UGJ1,Protein
Q5JVL4,Protein
Q9BXW7,Protein
P01275,Protein
P60891,Protein
Q13151,Protein
Q6T311,Protein
P49327,Protein
O00602,Protein
Q6DD88,Protein
Q8TBZ3,Protein
Q75N90,Protein
Q9UNS1,Protein
Q6EKJ0,Protein
P53672,Protein
P49759,Protein
Q96E39,Protein
Q8WVY7,Protein
Q8WVK7,Protein
A6NCW7,Protein
Q9BX70,Protein
O60676,Protein
P42330,Protein
Q96PF1,Protein
Q6ZUB0,Protein
Q16394,Protein
Q9BTX1,Protein
Q9UKN5,Protein
P03928,Protein
Q96R67,Protein
Q6T4R5,Protein
Q8NA97,Protein
P09132,Protein
O95071,Protein
A4UGR9,Protein
Q9Y3R5,Protein
P02671,Protein
Q6ZUU3,Protein
Q5H8C1,Protein
P06870,Protein
P49763,Protein
Q92643,Protein
P26718,Protein
Q9NQ55,Protein
Q9BXK5,Protein
B7Z6K7,Protein
Q8N129,Protein
P27816,Protein
P54868,Protein
Q86YL7,Protein
Q8WWG1,Protein
Q9BQE3,Protein
Q4V339,Protein
A6NKB5,Protein
Q9BRK4,Protein
Q8NGC3,Protein
O00291,Protein
P61550,Protein
Q9UM54,Protein
P51168,Protein
A6NMB9,Protein
Q8IVL0,Protein
Q9NXD2,Protein
Q9BQD7,Protein
P60985,Protein
P28482,Protein
Q9Y5Y6,Protein
Q8IUR0,Protein
Q3SY46,Protein
Q9BYQ4,Protein
P18850,Protein
P22314,Protein
Q86UK5,Protein
Q6UXG2,Protein
Q5R387,Protein
P13646,Protein
O75638,Protein
Q9Y3P8,Protein
Q2PZI1,Protein
Q96SN7,Protein
Q5TCY1,Protein
Q2TAL6,Protein
P04732,Protein
Q9BV10,Protein
Q9NX00,Protein
Q9Y573,Protein
P49354,Protein
P22760,Protein
Q8IXJ9,Protein
Q8NAE3,Protein
Q07617,Protein
P32322,Protein
Q9H173,Protein
A0A1W2PQ09,Protein
Q14693,Protein
P17676,Protein
P33240,Protein
Q504T8,Protein
Q8TE96,Protein
Q15014,Protein
Q8NHC5,Protein
O60858,Protein
Q9HBX9,Protein
P23508,Protein
P10124,Protein
Q8IVK1,Protein
O75752,Protein
P09544,Protein
Q7Z3S9,Protein
Q13190,Protein
Q96DR5,Protein
A6NMB1,Protein
Q8NHZ8,Protein
Q9H756,Protein
A0A1W2PPF3,Protein
Q3KQV3,Protein
P43250,Protein
Q7Z5L4,Protein
Q5GH76,Protein
Q9UNI6,Protein
Q6ZMI3,Protein
A4GXA9,Protein
Q6ZRU5,Protein
Q5I0X7,Protein
Q9Y6H3,Protein
Q8IX95,Protein
Q58FG1,Protein
Q9H845,Protein
Q8N6I4,Protein
Q9NS37,Protein
Q9H158,Protein
Q5VUB5,Protein
Q8WZA1,Protein
Q13445,Protein
Q5VUY2,Protein
Q7Z7B8,Protein
P04001,Protein
Q70Z35,Protein
Q6ZN01,Protein
Q9Y5L0,Protein
Q5VTD9,Protein
Q9UQE7,Protein
Q5VY43,Protein
P02728,Protein
Q6P9B9,Protein
Q9NVV0,Protein
P27540,Protein
P40879,Protein
P43362,Protein
Q96AG3,Protein
Q5JTN6,Protein
Q6UWX4,Protein
Q05901,Protein
Q9UN71,Protein
Q9Y6K1,Protein
Q9Y6N7,Protein
Q11203,Protein
Q13296,Protein
Q9BSF0,Protein
Q5T8A7,Protein
P25940,Protein
Q75MW2,Protein
O95406,Protein
Q9NUQ9,Protein
A6NE52,Protein
O75635,Protein
Q05209,Protein
A0A075B6T6,Protein
Q8N149,Protein
Q99929,Protein
Q5T4S7,Protein
P35030,Protein
Q09FC8,Protein
A0A0B4J264,Protein
Q8N4H0,Protein
Q969M2,Protein
Q8NDB6,Protein
A0A1W2PR82,Protein
P02788,Protein
Q9UJV9,Protein
Q8WWP7,Protein
P16083,Protein
Q9HDB9,Protein
Q6UXN9,Protein
Q86YW9,Protein
Q96M91,Protein
Q9BXK1,Protein
Q8N609,Protein
Q9BYZ6,Protein
Q59EK9,Protein
C9JTQ0,Protein
P01266,Protein
Q96HZ4,Protein
Q8TER0,Protein
Q6PDB4,Protein
A5PLN7,Protein
P41145,Protein
A0PJX2,Protein
Q8N9V3,Protein
Q96HR9,Protein
Q8WXX7,Protein
O75845,Protein
Q5R3K3,Protein
P61956,Protein
Q86T23,Protein
Q6GQQ9,Protein
O75592,Protein
Q6ZRP7,Protein
Q8TEZ7,Protein
P81877,Protein
P20592,Protein
A0A5A6,Protein
Q5T742,Protein
Q15388,Protein
Q8IV48,Protein
P62750,Protein
Q15572,Protein
Q9BV29,Protein
O15318,Protein
Q12870,Protein
Q8WU08,Protein
Q7Z3E5,Protein
Q9UN75,Protein
P0DL12,Protein
Q8N2U9,Protein
Q8N1M1,Protein
Q6ZVH7,Protein
Q99487,Protein
Q6UXK5,Protein
Q9BXJ4,Protein
O15360,Protein
Q9NYJ8,Protein
Q9UKJ5,Protein
Q9BXT4,Protein
P20916,Protein
Q76KX8,Protein
Q13573,Protein
Q13241,Protein
Q6ZTY9,Protein
Q99835,Protein
P0C7V7,Protein
Q03181,Protein
Q9HCH0,Protein
Q8N0V5,Protein
O94856,Protein
P0DSE1,Protein
Q9Y5U5,Protein
P51685,Protein
Q96A00,Protein
Q15582,Protein
P0CAP2,Protein
Q6P4I2,Protein
P08397,Protein
Q9NYY3,Protein
Q9NV31,Protein
Q96GU1,Protein
Q9UPM6,Protein
O95522,Protein
P33763,Protein
Q8N377,Protein
Q16566,Protein
Q9Y5A6,Protein
Q27J81,Protein
Q9HAP6,Protein
P0DMV2,Protein
E9PJI5,Protein
P56270,Protein
Q96N46,Protein
Q9UHJ6,Protein
Q07001,Protein
P54802,Protein
Q8WYK2,Protein
Q8TCT0,Protein
Q08722,Protein
Q96LC7,Protein
P10515,Protein
Q9UKN7,Protein
Q99750,Protein
C0HM01,Protein
P22674,Protein
Q6ZSA8,Protein
Q8N7U6,Protein
Q9P0S3,Protein
O75477,Protein
P03950,Protein
Q9UBN6,Protein
Q96M63,Protein
Q6IPX3,Protein
Q96PY0,Protein
P59827,Protein
Q68CP9,Protein
P04435,Protein
Q86VQ0,Protein
Q9Y3D9,Protein
P13611,Protein
P55786,Protein
Q9BZH6,Protein
Q6AZZ1,Protein
Q8IXJ6,Protein
Q9UBG7,Protein
O75116,Protein
A6NM36,Protein
O14684,Protein
Q5TA79,Protein
Q96SK2,Protein
A1L190,Protein
Q9UJV8,Protein
Q6P1S2,Protein
A0JD32,Protein
A0A0J9YVY3,Protein
Q53TQ3,Protein
Q9HCM2,Protein
P30876,Protein
Q86TV6,Protein
A8MV65,Protein
Q9P0Z9,Protein
Q8IVM8,Protein
Q9BZ81,Protein
P33947,Protein
P28715,Protein
Q9H4M7,Protein
Q01892,Protein
A6NF01,Protein
Q8NA69,Protein
O95567,Protein
Q9NSC2,Protein
Q86YJ7,Protein
P47897,Protein
Q8N3K9,Protein
A8TX70,Protein
A6NDK9,Protein
Q7Z4W3,Protein
Q9UPW5,Protein
Q92585,Protein
P18031,Protein
Q9H974,Protein
Q9BSF8,Protein
P30049,Protein
Q8TD57,Protein
Q96FG2,Protein
Q9NVA1,Protein
Q9Y2I2,Protein
Q9Y5G4,Protein
Q9NUI1,Protein
Q6UVY6,Protein
Q8N743,Protein
Q04724,Protein
Q12791,Protein
Q5T2Q4,Protein
Q9P2X0,Protein
P09210,Protein
I3L3R5,Protein
Q9NVF9,Protein
O75128,Protein
Q6XZB0,Protein
Q8WV99,Protein
P78396,Protein
Q9BY77,Protein
Q15691,Protein
O94989,Protein
Q9BV36,Protein
B2RBV5,Protein
A0MZ66,Protein
Q8NCU1,Protein
Q5JRS4,Protein
Q96B33,Protein
Q6VAB6,Protein
P34949,Protein
Q13114,Protein
Q5T7M9,Protein
Q9NRZ5,Protein
Q9BXN2,Protein
Q6VVX0,Protein
Q14680,Protein
Q9NWB1,Protein
P68363,Protein
O14746,Protein
Q93038,Protein
Q5T5Y3,Protein
O15287,Protein
A8MW99,Protein
Q3LHN2,Protein
Q9Y5X4,Protein
Q96EZ8,Protein
Q96M96,Protein
Q8WUI4,Protein
Q9H2X6,Protein
O95561,Protein
Q02078,Protein
P23109,Protein
P03951,Protein
Q96NT0,Protein
Q96LB1,Protein
P31391,Protein
A0AVI4,Protein
P51970,Protein
Q9NP70,Protein
Q8N4M1,Protein
Q5TB30,Protein
P35712,Protein
Q11128,Protein
Q9BYK8,Protein
Q92686,Protein
Q8NA66,Protein
Q6ZV50,Protein
P12883,Protein
P01298,Protein
Q8N2H9,Protein
P50990,Protein
P08311,Protein
Q15746,Protein
Q8TAI7,Protein
O00273,Protein
Q96EE4,Protein
O43561,Protein
P52926,Protein
P55199,Protein
A0A0J9YWX3,Protein
P35711,Protein
